"pH";"mg/ml"
"0.0";"170.63"
"0.1";"135.54"
"0.2";"107.66"
"0.3";"85.52"
"0.4";"67.93"
"0.5";"53.96"
"0.6";"42.86"
"0.7";"34.05"
"0.8";"27.04"
"0.9";"21.48"
"1.0";"17.06"
"1.1";"13.56"
"1.2";"10.77"
"1.3";"8.55"
"1.4";"6.79"
"1.5";"5.40"
"1.6";"4.29"
"1.7";"3.41"
"1.8";"2.71"
"1.9";"2.15"
"2.0";"1.71"
"2.1";"1.36"
"2.2";"1.08"
"2.3";"0.86"
"2.4";"0.68"
"2.5";"0.54"
"2.6";"0.43"
"2.7";"0.34"
"2.8";"0.27"
"2.9";"0.22"
"3.0";"0.17"
"3.1";"0.14"
"3.2";"0.11"
"3.3";"0.09"
"3.4";"0.07"
"3.5";"0.06"
"3.6";"0.05"
"3.7";"0.04"
"3.8";"0.03"
"3.9";"0.02"
"4.0";"0.02"
"4.1";"0.02"
"4.2";"0.01"
"4.3";"0.01"
"4.4";"0.01"
"4.5";"0.01"
"4.6";"0.01"
"4.7";"0.01"
"4.8";"0.00"
"4.9";"0.00"
"5.0";"0.00"
"5.1";"0.00"
"5.2";"0.00"
"5.3";"0.00"
"5.4";"0.00"
"5.5";"0.00"
"5.6";"0.00"
"5.7";"0.00"
"5.8";"0.00"
"5.9";"0.00"
"6.0";"0.00"
"6.1";"0.00"
"6.2";"0.00"
"6.3";"0.00"
"6.4";"0.00"
"6.5";"0.00"
"6.6";"0.00"
"6.7";"0.00"
"6.8";"0.00"
"6.9";"0.00"
"7.0";"0.00"
"7.1";"0.00"
"7.2";"0.00"
"7.3";"0.00"
"7.4";"0.00"
"7.5";"0.00"
"7.6";"0.00"
"7.7";"0.00"
"7.8";"0.00"
"7.9";"0.00"
"8.0";"0.00"
"8.1";"0.00"
"8.2";"0.00"
"8.3";"0.00"
"8.4";"0.00"
"8.5";"0.00"
"8.6";"0.00"
"8.7";"0.00"
"8.8";"0.00"
"8.9";"0.00"
"9.0";"0.00"
"9.1";"0.00"
"9.2";"0.00"
"9.3";"0.00"
"9.4";"0.00"
"9.5";"0.00"
"9.6";"0.00"
"9.7";"0.00"
"9.8";"0.00"
"9.9";"0.00"
"10.0";"0.00"
"10.1";"0.00"
"10.2";"0.00"
"10.3";"0.00"
"10.4";"0.00"
"10.5";"0.00"
"10.6";"0.00"
"10.7";"0.00"
"10.8";"0.00"
"10.9";"0.00"
"11.0";"0.00"
"11.1";"0.00"
"11.2";"0.00"
"11.3";"0.00"
"11.4";"0.00"
"11.5";"0.00"
"11.6";"0.00"
"11.7";"0.00"
"11.8";"0.00"
"11.9";"0.00"
"12.0";"0.00"
"12.1";"0.00"
"12.2";"0.00"
"12.3";"0.00"
"12.4";"0.00"
"12.5";"0.00"
"12.6";"0.00"
"12.7";"0.00"
"12.8";"0.00"
"12.9";"0.00"
"13.0";"0.01"
"13.1";"0.01"
"13.2";"0.01"
"13.3";"0.01"
"13.4";"0.01"
"13.5";"0.01"
"13.6";"0.01"
"13.7";"0.02"
"13.8";"0.02"
"13.9";"0.03"
"14.0";"0.03"
